"","value","datetime","datetime_utc","tz_time"
"1",13.6,"2014-01-01T00:00:00.000+01:00","2013-12-31T23:00:00Z",2014-01-01 00:00:00
"2",13.3,"2014-01-01T01:00:00.000+01:00","2014-01-01T00:00:00Z",2014-01-01 01:00:00
"3",13.3,"2014-01-01T02:00:00.000+01:00","2014-01-01T01:00:00Z",2014-01-01 02:00:00
"4",12.2,"2014-01-01T03:00:00.000+01:00","2014-01-01T02:00:00Z",2014-01-01 03:00:00
"5",7.8,"2014-01-01T04:00:00.000+01:00","2014-01-01T03:00:00Z",2014-01-01 04:00:00
"6",7.8,"2014-01-01T05:00:00.000+01:00","2014-01-01T04:00:00Z",2014-01-01 05:00:00
"7",7.7,"2014-01-01T06:00:00.000+01:00","2014-01-01T05:00:00Z",2014-01-01 06:00:00
"8",53.9,"2014-01-01T07:00:00.000+01:00","2014-01-01T06:00:00Z",2014-01-01 07:00:00
"9",151,"2014-01-01T08:00:00.000+01:00","2014-01-01T07:00:00Z",2014-01-01 08:00:00
"10",536.4,"2014-01-01T09:00:00.000+01:00","2014-01-01T08:00:00Z",2014-01-01 09:00:00
"11",1079.2,"2014-01-01T10:00:00.000+01:00","2014-01-01T09:00:00Z",2014-01-01 10:00:00
"12",1407.2,"2014-01-01T11:00:00.000+01:00","2014-01-01T10:00:00Z",2014-01-01 11:00:00
"13",1595,"2014-01-01T12:00:00.000+01:00","2014-01-01T11:00:00Z",2014-01-01 12:00:00
"14",1554.6,"2014-01-01T13:00:00.000+01:00","2014-01-01T12:00:00Z",2014-01-01 13:00:00
"15",1320.4,"2014-01-01T14:00:00.000+01:00","2014-01-01T13:00:00Z",2014-01-01 14:00:00
"16",997.5,"2014-01-01T15:00:00.000+01:00","2014-01-01T14:00:00Z",2014-01-01 15:00:00
"17",616,"2014-01-01T16:00:00.000+01:00","2014-01-01T15:00:00Z",2014-01-01 16:00:00
"18",297.3,"2014-01-01T17:00:00.000+01:00","2014-01-01T16:00:00Z",2014-01-01 17:00:00
"19",189.2,"2014-01-01T18:00:00.000+01:00","2014-01-01T17:00:00Z",2014-01-01 18:00:00
"20",124.8,"2014-01-01T19:00:00.000+01:00","2014-01-01T18:00:00Z",2014-01-01 19:00:00
"21",69.7,"2014-01-01T20:00:00.000+01:00","2014-01-01T19:00:00Z",2014-01-01 20:00:00
"22",14.3,"2014-01-01T21:00:00.000+01:00","2014-01-01T20:00:00Z",2014-01-01 21:00:00
"23",12,"2014-01-01T22:00:00.000+01:00","2014-01-01T21:00:00Z",2014-01-01 22:00:00
"24",12.2,"2014-01-01T23:00:00.000+01:00","2014-01-01T22:00:00Z",2014-01-01 23:00:00
"25",12.6,"2014-01-02T00:00:00.000+01:00","2014-01-01T23:00:00Z",2014-01-02 00:00:00
"26",8.4,"2014-01-02T01:00:00.000+01:00","2014-01-02T00:00:00Z",2014-01-02 01:00:00
"27",7.7,"2014-01-02T02:00:00.000+01:00","2014-01-02T01:00:00Z",2014-01-02 02:00:00
"28",6.5,"2014-01-02T03:00:00.000+01:00","2014-01-02T02:00:00Z",2014-01-02 03:00:00
"29",6.6,"2014-01-02T04:00:00.000+01:00","2014-01-02T03:00:00Z",2014-01-02 04:00:00
"30",6.6,"2014-01-02T05:00:00.000+01:00","2014-01-02T04:00:00Z",2014-01-02 05:00:00
"31",7.3,"2014-01-02T06:00:00.000+01:00","2014-01-02T05:00:00Z",2014-01-02 06:00:00
"32",55.7,"2014-01-02T07:00:00.000+01:00","2014-01-02T06:00:00Z",2014-01-02 07:00:00
"33",134.6,"2014-01-02T08:00:00.000+01:00","2014-01-02T07:00:00Z",2014-01-02 08:00:00
"34",305.9,"2014-01-02T09:00:00.000+01:00","2014-01-02T08:00:00Z",2014-01-02 09:00:00
"35",556.2,"2014-01-02T10:00:00.000+01:00","2014-01-02T09:00:00Z",2014-01-02 10:00:00
"36",770,"2014-01-02T11:00:00.000+01:00","2014-01-02T10:00:00Z",2014-01-02 11:00:00
"37",941.1,"2014-01-02T12:00:00.000+01:00","2014-01-02T11:00:00Z",2014-01-02 12:00:00
"38",981.8,"2014-01-02T13:00:00.000+01:00","2014-01-02T12:00:00Z",2014-01-02 13:00:00
"39",895.8,"2014-01-02T14:00:00.000+01:00","2014-01-02T13:00:00Z",2014-01-02 14:00:00
"40",729,"2014-01-02T15:00:00.000+01:00","2014-01-02T14:00:00Z",2014-01-02 15:00:00
"41",499.7,"2014-01-02T16:00:00.000+01:00","2014-01-02T15:00:00Z",2014-01-02 16:00:00
"42",281.8,"2014-01-02T17:00:00.000+01:00","2014-01-02T16:00:00Z",2014-01-02 17:00:00
"43",187.4,"2014-01-02T18:00:00.000+01:00","2014-01-02T17:00:00Z",2014-01-02 18:00:00
"44",124.2,"2014-01-02T19:00:00.000+01:00","2014-01-02T18:00:00Z",2014-01-02 19:00:00
