"","value","datetime","datetime_utc","tz_time"
"1",-2811,"2014-01-01T00:00:00.000+01:00","2013-12-31T23:00:00Z",2014-01-01 00:00:00
"2",-2701,"2014-01-01T01:00:00.000+01:00","2014-01-01T00:00:00Z",2014-01-01 01:00:00
"3",-2510,"2014-01-01T02:00:00.000+01:00","2014-01-01T01:00:00Z",2014-01-01 02:00:00
"4",-2724,"2014-01-01T03:00:00.000+01:00","2014-01-01T02:00:00Z",2014-01-01 03:00:00
"5",-3377,"2014-01-01T04:00:00.000+01:00","2014-01-01T03:00:00Z",2014-01-01 04:00:00
"6",-3410.1,"2014-01-01T05:00:00.000+01:00","2014-01-01T04:00:00Z",2014-01-01 05:00:00
"7",-3530.4,"2014-01-01T06:00:00.000+01:00","2014-01-01T05:00:00Z",2014-01-01 06:00:00
"8",-3371.5,"2014-01-01T07:00:00.000+01:00","2014-01-01T06:00:00Z",2014-01-01 07:00:00
"9",-3420,"2014-01-01T08:00:00.000+01:00","2014-01-01T07:00:00Z",2014-01-01 08:00:00
"10",-2995.1,"2014-01-01T09:00:00.000+01:00","2014-01-01T08:00:00Z",2014-01-01 09:00:00
"11",-2691,"2014-01-01T10:00:00.000+01:00","2014-01-01T09:00:00Z",2014-01-01 10:00:00
"12",-2024.2,"2014-01-01T11:00:00.000+01:00","2014-01-01T10:00:00Z",2014-01-01 11:00:00
"13",-1946,"2014-01-01T12:00:00.000+01:00","2014-01-01T11:00:00Z",2014-01-01 12:00:00
"14",-1946,"2014-01-01T13:00:00.000+01:00","2014-01-01T12:00:00Z",2014-01-01 13:00:00
"15",-1946,"2014-01-01T14:00:00.000+01:00","2014-01-01T13:00:00Z",2014-01-01 14:00:00
"16",-2119.8,"2014-01-01T15:00:00.000+01:00","2014-01-01T14:00:00Z",2014-01-01 15:00:00
"17",-2133.6,"2014-01-01T16:00:00.000+01:00","2014-01-01T15:00:00Z",2014-01-01 16:00:00
"18",-2098,"2014-01-01T17:00:00.000+01:00","2014-01-01T16:00:00Z",2014-01-01 17:00:00
"19",-1364.1,"2014-01-01T18:00:00.000+01:00","2014-01-01T17:00:00Z",2014-01-01 18:00:00
"20",-859.5,"2014-01-01T19:00:00.000+01:00","2014-01-01T18:00:00Z",2014-01-01 19:00:00
"21",-1231.9,"2014-01-01T20:00:00.000+01:00","2014-01-01T19:00:00Z",2014-01-01 20:00:00
"22",-1482,"2014-01-01T21:00:00.000+01:00","2014-01-01T20:00:00Z",2014-01-01 21:00:00
"23",-2249,"2014-01-01T22:00:00.000+01:00","2014-01-01T21:00:00Z",2014-01-01 22:00:00
"24",-2591,"2014-01-01T23:00:00.000+01:00","2014-01-01T22:00:00Z",2014-01-01 23:00:00
"25",-2958.7,"2014-01-02T00:00:00.000+01:00","2014-01-01T23:00:00Z",2014-01-02 00:00:00
"26",-3327.2,"2014-01-02T01:00:00.000+01:00","2014-01-02T00:00:00Z",2014-01-02 01:00:00
"27",-3490.9,"2014-01-02T02:00:00.000+01:00","2014-01-02T01:00:00Z",2014-01-02 02:00:00
"28",-3094.6,"2014-01-02T03:00:00.000+01:00","2014-01-02T02:00:00Z",2014-01-02 03:00:00
"29",-3054.1,"2014-01-02T04:00:00.000+01:00","2014-01-02T03:00:00Z",2014-01-02 04:00:00
"30",-2901.6,"2014-01-02T05:00:00.000+01:00","2014-01-02T04:00:00Z",2014-01-02 05:00:00
"31",-2912.4,"2014-01-02T06:00:00.000+01:00","2014-01-02T05:00:00Z",2014-01-02 06:00:00
"32",-1700,"2014-01-02T07:00:00.000+01:00","2014-01-02T06:00:00Z",2014-01-02 07:00:00
"33",-498,"2014-01-02T08:00:00.000+01:00","2014-01-02T07:00:00Z",2014-01-02 08:00:00
"34",-24,"2014-01-02T09:00:00.000+01:00","2014-01-02T08:00:00Z",2014-01-02 09:00:00
"35",-360,"2014-01-02T10:00:00.000+01:00","2014-01-02T09:00:00Z",2014-01-02 10:00:00
"36",-263,"2014-01-02T15:00:00.000+01:00","2014-01-02T14:00:00Z",2014-01-02 15:00:00
"37",-264,"2014-01-02T16:00:00.000+01:00","2014-01-02T15:00:00Z",2014-01-02 16:00:00
"38",-144,"2014-01-02T19:00:00.000+01:00","2014-01-02T18:00:00Z",2014-01-02 19:00:00
"39",-416.8,"2014-01-02T20:00:00.000+01:00","2014-01-02T19:00:00Z",2014-01-02 20:00:00
"40",-1023.2,"2014-01-02T21:00:00.000+01:00","2014-01-02T20:00:00Z",2014-01-02 21:00:00
"41",-972,"2014-01-02T22:00:00.000+01:00","2014-01-02T21:00:00Z",2014-01-02 22:00:00
"42",-1188.6,"2014-01-02T23:00:00.000+01:00","2014-01-02T22:00:00Z",2014-01-02 23:00:00
"43",-1961.2,"2014-01-03T00:00:00.000+01:00","2014-01-02T23:00:00Z",2014-01-03 00:00:00
"44",-3337.4,"2014-01-03T01:00:00.000+01:00","2014-01-03T00:00:00Z",2014-01-03 01:00:00
"45",-3628,"2014-01-03T02:00:00.000+01:00","2014-01-03T01:00:00Z",2014-01-03 02:00:00
"46",-3628,"2014-01-03T03:00:00.000+01:00","2014-01-03T02:00:00Z",2014-01-03 03:00:00
"47",-3624.1,"2014-01-03T04:00:00.000+01:00","2014-01-03T03:00:00Z",2014-01-03 04:00:00
"48",-3623.5,"2014-01-03T05:00:00.000+01:00","2014-01-03T04:00:00Z",2014-01-03 05:00:00
"49",-3422.8,"2014-01-03T06:00:00.000+01:00","2014-01-03T05:00:00Z",2014-01-03 06:00:00
"50",-1803,"2014-01-03T07:00:00.000+01:00","2014-01-03T06:00:00Z",2014-01-03 07:00:00
"51",-958,"2014-01-03T08:00:00.000+01:00","2014-01-03T07:00:00Z",2014-01-03 08:00:00
"52",-619.9,"2014-01-03T09:00:00.000+01:00","2014-01-03T08:00:00Z",2014-01-03 09:00:00
"53",-216,"2014-01-03T10:00:00.000+01:00","2014-01-03T09:00:00Z",2014-01-03 10:00:00
"54",-216,"2014-01-03T11:00:00.000+01:00","2014-01-03T10:00:00Z",2014-01-03 11:00:00
"55",-216,"2014-01-03T12:00:00.000+01:00","2014-01-03T11:00:00Z",2014-01-03 12:00:00
"56",-216,"2014-01-03T13:00:00.000+01:00","2014-01-03T12:00:00Z",2014-01-03 13:00:00
"57",-216,"2014-01-03T14:00:00.000+01:00","2014-01-03T13:00:00Z",2014-01-03 14:00:00
"58",-507,"2014-01-03T15:00:00.000+01:00","2014-01-03T14:00:00Z",2014-01-03 15:00:00
"59",-282,"2014-01-03T16:00:00.000+01:00","2014-01-03T15:00:00Z",2014-01-03 16:00:00
"60",-108,"2014-01-03T18:00:00.000+01:00","2014-01-03T17:00:00Z",2014-01-03 18:00:00
"61",-60,"2014-01-03T19:00:00.000+01:00","2014-01-03T18:00:00Z",2014-01-03 19:00:00
"62",-144,"2014-01-03T20:00:00.000+01:00","2014-01-03T19:00:00Z",2014-01-03 20:00:00
"63",-730.5,"2014-01-03T21:00:00.000+01:00","2014-01-03T20:00:00Z",2014-01-03 21:00:00
