"","value","datetime","datetime_utc","tz_time"
"1",198.3,"2014-01-01T09:00:00.000+01:00","2014-01-01T08:00:00Z",2014-01-01 09:00:00
"2",212,"2014-01-01T10:00:00.000+01:00","2014-01-01T09:00:00Z",2014-01-01 10:00:00
"3",274,"2014-01-01T11:00:00.000+01:00","2014-01-01T10:00:00Z",2014-01-01 11:00:00
"4",274,"2014-01-01T12:00:00.000+01:00","2014-01-01T11:00:00Z",2014-01-01 12:00:00
"5",212,"2014-01-01T13:00:00.000+01:00","2014-01-01T12:00:00Z",2014-01-01 13:00:00
"6",180,"2014-01-01T14:00:00.000+01:00","2014-01-01T13:00:00Z",2014-01-01 14:00:00
"7",20.8,"2014-01-01T15:00:00.000+01:00","2014-01-01T14:00:00Z",2014-01-01 15:00:00
"8",346.8,"2014-01-01T18:00:00.000+01:00","2014-01-01T17:00:00Z",2014-01-01 18:00:00
"9",532.2,"2014-01-01T19:00:00.000+01:00","2014-01-01T18:00:00Z",2014-01-01 19:00:00
"10",570,"2014-01-01T20:00:00.000+01:00","2014-01-01T19:00:00Z",2014-01-01 20:00:00
"11",570,"2014-01-01T21:00:00.000+01:00","2014-01-01T20:00:00Z",2014-01-01 21:00:00
"12",578,"2014-01-01T22:00:00.000+01:00","2014-01-01T21:00:00Z",2014-01-01 22:00:00
"13",61,"2014-01-01T23:00:00.000+01:00","2014-01-01T22:00:00Z",2014-01-01 23:00:00
"14",35,"2014-01-02T06:00:00.000+01:00","2014-01-02T05:00:00Z",2014-01-02 06:00:00
"15",235.6,"2014-01-02T07:00:00.000+01:00","2014-01-02T06:00:00Z",2014-01-02 07:00:00
"16",672.8,"2014-01-02T08:00:00.000+01:00","2014-01-02T07:00:00Z",2014-01-02 08:00:00
"17",1327.7,"2014-01-02T09:00:00.000+01:00","2014-01-02T08:00:00Z",2014-01-02 09:00:00
"18",1825,"2014-01-02T10:00:00.000+01:00","2014-01-02T09:00:00Z",2014-01-02 10:00:00
"19",1959.8,"2014-01-02T11:00:00.000+01:00","2014-01-02T10:00:00Z",2014-01-02 11:00:00
"20",1654.8,"2014-01-02T12:00:00.000+01:00","2014-01-02T11:00:00Z",2014-01-02 12:00:00
"21",1082.2,"2014-01-02T13:00:00.000+01:00","2014-01-02T12:00:00Z",2014-01-02 13:00:00
"22",800,"2014-01-02T14:00:00.000+01:00","2014-01-02T13:00:00Z",2014-01-02 14:00:00
"23",755.7,"2014-01-02T15:00:00.000+01:00","2014-01-02T14:00:00Z",2014-01-02 15:00:00
"24",688.3,"2014-01-02T16:00:00.000+01:00","2014-01-02T15:00:00Z",2014-01-02 16:00:00
"25",850,"2014-01-02T17:00:00.000+01:00","2014-01-02T16:00:00Z",2014-01-02 17:00:00
"26",1533,"2014-01-02T18:00:00.000+01:00","2014-01-02T17:00:00Z",2014-01-02 18:00:00
"27",1376.1,"2014-01-02T19:00:00.000+01:00","2014-01-02T18:00:00Z",2014-01-02 19:00:00
"28",1156.2,"2014-01-02T20:00:00.000+01:00","2014-01-02T19:00:00Z",2014-01-02 20:00:00
"29",915.5,"2014-01-02T21:00:00.000+01:00","2014-01-02T20:00:00Z",2014-01-02 21:00:00
"30",588.5,"2014-01-02T22:00:00.000+01:00","2014-01-02T21:00:00Z",2014-01-02 22:00:00
"31",126.4,"2014-01-02T23:00:00.000+01:00","2014-01-02T22:00:00Z",2014-01-02 23:00:00
"32",708,"2014-01-03T08:00:00.000+01:00","2014-01-03T07:00:00Z",2014-01-03 08:00:00
"33",816,"2014-01-03T09:00:00.000+01:00","2014-01-03T08:00:00Z",2014-01-03 09:00:00
"34",995.3,"2014-01-03T10:00:00.000+01:00","2014-01-03T09:00:00Z",2014-01-03 10:00:00
"35",1023.5,"2014-01-03T11:00:00.000+01:00","2014-01-03T10:00:00Z",2014-01-03 11:00:00
"36",824,"2014-01-03T12:00:00.000+01:00","2014-01-03T11:00:00Z",2014-01-03 12:00:00
"37",824,"2014-01-03T13:00:00.000+01:00","2014-01-03T12:00:00Z",2014-01-03 13:00:00
"38",648,"2014-01-03T14:00:00.000+01:00","2014-01-03T13:00:00Z",2014-01-03 14:00:00
"39",648,"2014-01-03T15:00:00.000+01:00","2014-01-03T14:00:00Z",2014-01-03 15:00:00
"40",880,"2014-01-03T16:00:00.000+01:00","2014-01-03T15:00:00Z",2014-01-03 16:00:00
"41",1185.8,"2014-01-03T17:00:00.000+01:00","2014-01-03T16:00:00Z",2014-01-03 17:00:00
"42",1895.8,"2014-01-03T18:00:00.000+01:00","2014-01-03T17:00:00Z",2014-01-03 18:00:00
"43",1950.8,"2014-01-03T19:00:00.000+01:00","2014-01-03T18:00:00Z",2014-01-03 19:00:00
"44",1791,"2014-01-03T20:00:00.000+01:00","2014-01-03T19:00:00Z",2014-01-03 20:00:00
"45",1861.6,"2014-01-03T21:00:00.000+01:00","2014-01-03T20:00:00Z",2014-01-03 21:00:00
"46",1286.8,"2014-01-03T22:00:00.000+01:00","2014-01-03T21:00:00Z",2014-01-03 22:00:00
"47",380,"2014-01-03T23:00:00.000+01:00","2014-01-03T22:00:00Z",2014-01-03 23:00:00
"48",232,"2014-01-04T00:00:00.000+01:00","2014-01-03T23:00:00Z",2014-01-04 00:00:00
"49",13.7,"2014-01-04T08:00:00.000+01:00","2014-01-04T07:00:00Z",2014-01-04 08:00:00
"50",27.2,"2014-01-04T09:00:00.000+01:00","2014-01-04T08:00:00Z",2014-01-04 09:00:00
"51",25,"2014-01-04T10:00:00.000+01:00","2014-01-04T09:00:00Z",2014-01-04 10:00:00
"52",1.3,"2014-01-04T14:00:00.000+01:00","2014-01-04T13:00:00Z",2014-01-04 14:00:00
"53",476.2,"2014-01-04T18:00:00.000+01:00","2014-01-04T17:00:00Z",2014-01-04 18:00:00
"54",895.6,"2014-01-04T19:00:00.000+01:00","2014-01-04T18:00:00Z",2014-01-04 19:00:00
"55",1451.8,"2014-01-04T20:00:00.000+01:00","2014-01-04T19:00:00Z",2014-01-04 20:00:00
"56",1408.8,"2014-01-04T21:00:00.000+01:00","2014-01-04T20:00:00Z",2014-01-04 21:00:00
"57",559.3,"2014-01-04T22:00:00.000+01:00","2014-01-04T21:00:00Z",2014-01-04 22:00:00
"58",224,"2014-01-05T00:00:00.000+01:00","2014-01-04T23:00:00Z",2014-01-05 00:00:00
"59",232,"2014-01-05T01:00:00.000+01:00","2014-01-05T00:00:00Z",2014-01-05 01:00:00
"60",224,"2014-01-05T08:00:00.000+01:00","2014-01-05T07:00:00Z",2014-01-05 08:00:00
"61",216,"2014-01-05T09:00:00.000+01:00","2014-01-05T08:00:00Z",2014-01-05 09:00:00
"62",355.4,"2014-01-05T10:00:00.000+01:00","2014-01-05T09:00:00Z",2014-01-05 10:00:00
"63",947.1,"2014-01-05T11:00:00.000+01:00","2014-01-05T10:00:00Z",2014-01-05 11:00:00
"64",881,"2014-01-05T12:00:00.000+01:00","2014-01-05T11:00:00Z",2014-01-05 12:00:00
"65",650,"2014-01-05T13:00:00.000+01:00","2014-01-05T12:00:00Z",2014-01-05 13:00:00
"66",500,"2014-01-05T14:00:00.000+01:00","2014-01-05T13:00:00Z",2014-01-05 14:00:00
"67",300,"2014-01-05T17:00:00.000+01:00","2014-01-05T16:00:00Z",2014-01-05 17:00:00
"68",1127.4,"2014-01-05T18:00:00.000+01:00","2014-01-05T17:00:00Z",2014-01-05 18:00:00
"69",1501,"2014-01-05T19:00:00.000+01:00","2014-01-05T18:00:00Z",2014-01-05 19:00:00
"70",1262.7,"2014-01-05T20:00:00.000+01:00","2014-01-05T19:00:00Z",2014-01-05 20:00:00
"71",1781.8,"2014-01-05T21:00:00.000+01:00","2014-01-05T20:00:00Z",2014-01-05 21:00:00
"72",1768.4,"2014-01-05T22:00:00.000+01:00","2014-01-05T21:00:00Z",2014-01-05 22:00:00
"73",1101.8,"2014-01-05T23:00:00.000+01:00","2014-01-05T22:00:00Z",2014-01-05 23:00:00
"74",431.3,"2014-01-06T00:00:00.000+01:00","2014-01-05T23:00:00Z",2014-01-06 00:00:00
"75",162,"2014-01-06T10:00:00.000+01:00","2014-01-06T09:00:00Z",2014-01-06 10:00:00
