"Año";"Periodo";"Agua embalsada"
"2005";"Semana 52";"24.364"
"2006";"Semana 1";"24.947"
"2006";"Semana 2";"25.129"
"2006";"Semana 3";"25.251"
"2006";"Semana 4";"25.370"
"2006";"Semana 5";"25.451"
"2006";"Semana 6";"25.548"
"2006";"Semana 7";"25.935"
"2006";"Semana 8";"26.322"
"2006";"Semana 9";"26.999"
"2006";"Semana 10";"27.948"
"2006";"Semana 11";"28.661"
"2006";"Semana 12";"30.284"
"2006";"Semana 13";"30.889"
"2006";"Semana 14";"30.990"
"2006";"Semana 15";"31.208"
"2006";"Semana 16";"31.391"
"2006";"Semana 17";"31.663"
"2006";"Semana 18";"31.559"
"2006";"Semana 19";"31.352"
"2006";"Semana 20";"31.012"
"2006";"Semana 21";"30.572"
"2006";"Semana 22";"30.103"
"2006";"Semana 23";"29.467"
"2006";"Semana 24";"28.985"
"2006";"Semana 25";"28.448"
"2006";"Semana 26";"27.925"
"2006";"Semana 27";"27.273"
"2006";"Semana 28";"26.462"
"2006";"Semana 29";"25.777"
"2006";"Semana 30";"24.901"
"2006";"Semana 31";"24.100"
"2006";"Semana 32";"23.362"
"2006";"Semana 33";"22.761"
"2006";"Semana 34";"22.170"
"2006";"Semana 35";"21.624"
"2006";"Semana 36";"21.049"
"2006";"Semana 37";"20.826"
"2006";"Semana 38";"20.860"
"2006";"Semana 39";"20.983"
"2006";"Semana 40";"20.955"
"2006";"Semana 41";"20.915"
"2006";"Semana 42";"21.765"
"2006";"Semana 43";"24.326"
"2006";"Semana 44";"25.276"
"2006";"Semana 45";"25.828"
"2006";"Semana 46";"26.641"
"2006";"Semana 47";"28.497"
"2006";"Semana 48";"29.623"
"2006";"Semana 49";"30.854"
"2006";"Semana 50";"30.968"
"2006";"Semana 51";"30.391"
"2006";"Semana 52";"30.089"
"2007";"Semana 1";"29.826"
"2007";"Semana 2";"29.735"
"2007";"Semana 3";"29.742"
"2007";"Semana 4";"29.819"
"2007";"Semana 5";"30.008"
"2007";"Semana 6";"30.871"
"2007";"Semana 7";"32.295"
"2007";"Semana 8";"32.846"
"2007";"Semana 9";"32.946"
"2007";"Semana 10";"32.881"
"2007";"Semana 11";"32.576"
"2007";"Semana 12";"32.333"
"2007";"Semana 13";"32.693"
"2007";"Semana 14";"33.027"
"2007";"Semana 15";"33.692"
"2007";"Semana 16";"33.936"
"2007";"Semana 17";"34.298"
"2007";"Semana 18";"34.852"
"2007";"Semana 19";"35.076"
"2007";"Semana 20";"35.031"
